Symbol,Name
EVM,"Eaton Vance California Municipal Bond Fund"
LLEX,"Lilis Energy, Inc."
VHC,"VirnetX Holding Corp"
CVRS,"Corindus Vascular Robotics, Inc."
IMH,"Impac Mortgage Holdings, Inc."
PLM,"Polymet Mining Corp."
GST,"Gastar Exploration Inc."
RLGT,"Radiant Logistics, Inc."
NHS,"Neuberger Berman High Yield Strategies Fund"
EPM,"Evolution Petroleum Corporation, Inc."
GORO,"Gold Resource Corporation"
TPHS,"Trinity Place Holdings Inc."
UEC,"Uranium Energy Corp."
ROX,"Castle Brands, Inc."
EVBN,"Evans Bancorp, Inc."
AE,"Adams Resources & Energy, Inc."
ZOM,"Zomedica Pharmaceuticals Corp."
RIF,"RMR Real Estate Income Fund"
MJCO,"Majesco"
ENX,"Eaton Vance New York Municipal Bond Fund"
LAQ,"Latin America Equity Fund, Inc. (The)"
GPL,"Great Panther Silver Limited"
DMF,"Dreyfus Municipal Income, Inc."
PTN,"Palatin Technologies, Inc."
AINC,"Ashford Inc."
CIK,"Credit Suisse Asset Management Income Fund, Inc."
CIX,"CompX International Inc."
ORM,"Owens Realty Mortgage, Inc."
CMT,"Core Molding Technologies Inc"
OCX,"OncoCyte Corporation"
CRHM,"CRH Medical Corporation"
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc."
SNMP,"Sanchez Midstream Partners LP"
NES,"Nuverra Environmental Solutions, Inc."
USAS,"Americas Silver Corporation"
DLA,"Delta Apparel, Inc."
LBY,"Libbey, Inc."
TIS,"Orchids Paper Products Company"
IAF,"Aberdeen Australia Equity Fund Inc"
GLQ,"Clough Global Equity Fund"
BGSF,"BG Staffing Inc"
UUUU,"Energy Fuels Inc"
MTNB,"Matinas Biopharma Holdings, Inc."
AXU,"Alexco Resource Corp"
ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund I"
ALO,"Alio Gold Inc."
AMPE,"Ampio Pharmaceuticals, Inc."
HNW,"Pioneer Diversified High Income Trust"
AKG,"Asanko Gold Inc."
BKJ,"Bancorp of New Jersey, Inc"
ERH,"Wells Fargo Utilities and High Income Fund"
EIV,"Eaton Vance Municipal Bond Fund II"
AUG,"Auryn Resources Inc."
AST,"Asterias Biotherapeutics, Inc."
ECF,"Ellsworth Growth and Income Fund Ltd."
GV,"Goldfield Corporation (The)"
NOG,"Northern Oil and Gas, Inc."
CDOR,"Condor Hospitality Trust, Inc."
AAMC,"Altisource Asset Management Corp"
GDP,"Goodrich Petroleum Corporation"
BCV,"Bancroft Fund Limited"
SKY,"Skyline Corporation"
HLTH,"Nobilis Health Corp."
URG,"Ur Energy Inc"
ELLO,"Ellomay Capital Ltd."
BVX,"Bovie Medical Corporation"
PLX,"Protalix BioTherapeutics, Inc."
GLV,"Clough Global Dividend and Income Fund"
INTT,"inTest Corporation"
WRN,"Western Copper and Gold Corporation"
CEV,"Eaton Vance California Municipal Income Trust"
VNRX,"VolitionRX Limited"
AAU,"Almaden Minerals, Ltd."
UFAB,"Unique Fabricating, Inc."
GLU,"The Gabelli Global Utility and Income Trust"
TMQ,"Trilogy Metals Inc."
CVU,"CPI Aerostructures, Inc."
SYN,"Synthetic Biologics, Inc"
ISL,"Aberdeen Israel Fund, Inc."
GSB,"GlobalSCAPE, Inc."
VISI,"Volt Information Sciences, Inc."
EGI,"Entree Resources Ltd."
FCO,"Aberdeen Global Income Fund, Inc."
ACU,"Acme United Corporation."
NBW,"Neuberger Berman California Intermediate Municipal Fund Inc."
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc"
BFY,"BlackRock New York Municipal Income Trust II"
CH,"Aberdeen Chile Fund, Inc."
MNI,"McClatchy Company (The)"
UQM,"UQM Technologies Inc."
NAVB,"Navidea Biopharmaceuticals, Inc."
MZA,"MuniYield Arizona Fund, Inc."
NNVC,"NanoViricides, Inc."
IF,"Aberdeen Indonesia Fund, Inc."
EVY,"Eaton Vance New York Municipal Income Trust"
HTM,"U.S. Geothermal Inc."
CMCL,"Caledonia Mining Corporation Plc"
PLYM,"Plymouth Industrial REIT, Inc."
MCF,"Contango Oil & Gas Company"
RNN,"Rexahn Pharmaceuticals, Inc."
GVP,"GSE Systems, Inc."
BTN,"Ballantyne Strong, Inc"
VGZ,"Vista Gold Corporation"
EMX,"EMX Royalty Corporation"
APT,"Alpha Pro Tech, Ltd."
NBO,"Neuberger Berman New York Intermediate Municipal Fund Inc."
ASM,"Avino Silver"
SACH,"Sachem Capital Corp."
DIT,"AMCON Distributing Company"
VFL,"Delaware Investments Florida Insured Municipal Income Fund"
NTIP,"Network-1 Technologies, Inc."
NBY,"NovaBay Pharmaceuticals, Inc."
EMAN,"eMagin Corporation"
DPW,"Digital Power Corporation"
ATNM,"Actinium Pharmaceuticals, Inc."
MHH,"Mastech Digital, Inc"
THM,"International Tower Hill Mines Ltd"
PFNX,"Pfenex Inc."
EVJ,"Eaton Vance New Jersey Municipal Income Trust"
WYY,"WidePoint Corporation"
WTT,"Wireless Telecom Group,  Inc."
ESP,"Espey Mfg. & Electronics Corp."
ISDR,"Issuer Direct Corporation"
SGB,"Southwest Georgia Financial Corporation"
INFU,"InfuSystems Holdings, Inc."
TAT,"Transatlantic Petroleum Ltd"
RWC,"RELM Wireless Corporation"
PLG,"Platinum Group Metals Ltd."
ELMD,"Electromed, Inc."
IOR,"Income Opportunity Realty Investors, Inc."
EIA,"Eaton Vance California Municipal Bond Fund II"
BDL,"Flanigan&#39;s Enterprises, Inc."
IEC,"IEC Electronics Corp."
UWN,"Nevada Gold & Casinos, Inc."
CRMD,"CorMedix Inc"
FRD,"Friedman Industries Inc."
LEU,"Centrus Energy Corp."
SIF,"SIFCO Industries, Inc."
AUMN,"Golden Minerals Company"
CTEK,"CynergisTek, Inc."
EVO,"Eaton Vance Ohio Municipal Income Trust"
INS,"Intelligent Systems Corporation"
EIP,"Eaton Vance Pennsylvania Municipal Bond Fund"
LEVB,"Level Brands, Inc."
MLSS,"Milestone Scientific, Inc."
MMV,"Eaton Vance Massachusetts Municipal Income Trust"
IDN,"Intellicheck, Inc."
BLJ,"Blackrock New Jersey Municipal Bond Trust"
XPL,"Solitario Zinc Corp."
MSN,"Emerson Radio Corporation"
GMO,"General Moly, Inc"
ENSV,"ENSERVCO Corporation"
MHE,"BlackRock Massachusetts Tax-Exempt Trust"
TKAT,"Takung Art Co., Ltd."
AIRI,"Air Industries Group"
SDPI,"Superior Drilling Products, Inc."
CCA,"MFS California Insured Municipal Trust"
EMJ,"Eaton Vance New Jersey Municipal Bond Fund"
CUO,"Continental Materials Corporation"
EIO,"Eaton Vance Ohio Municipal Bond Fund"
EVP,"Eaton Vance Pennsylvania Municipal Income Trust"
BGI,"Birks Group Inc."
TRX,"Tanzanian Royalty Exploration Corporation"
MOC,"Command Security Corporation"
PZG,"Paramount Gold Nevada Corp."
CVR,"Chicago Rivet & Machine Co."
NYH,"Eaton Vance New York Municipal Bond Fund II"
ONP,"Orient Paper, Inc."
GGO,"The Gabelli Go Anywhere Trust"
GRF,"Eagle Capital Growth Fund, Inc."
ZDGE,"Zedge, Inc."
BZM,"BlackRock Maryland Municipal Bond Trust"
YUMA,"Yuma Energy, Inc."
BHV,"BlackRock Virginia Municipal Bond Trust"
TRT,"Trio-Tech International"
SVT,"Servotronics, Inc."
REED,"Reeds, Inc."
JOB,"GEE Group Inc."
DGSE,"DGSE Companies, Inc."
EMI,"Eaton Vance Michigan Municipal Income Trust"
TEUM,"Pareteum Corporation"
INUV,"Inuvo, Inc"
ISR,"IsoRay, Inc."
MAB,"Eaton Vance Massachusetts Municipal Bond Fund"
HUSA,"Houston American Energy Corporation"
CANF,"Can-Fite Biopharma Ltd"
LIQT,"LiqTech International, Inc."
UAMY,"United States Antimony Corporation"
ACY,"AeroCentury Corp."
RVP,"Retractable Technologies, Inc."
CAW,"CCA Industries, Inc."
CKX,"CKX Lands, Inc."
MIW,"Eaton Vance Michigan Municipal Bond Fund"
DXR,"Daxor Corporation"
IBIO,"iBio, Inc."
FSI,"Flexible Solutions International Inc."
ESNC,"EnSync, Inc."
DSS,"Document Security Systems, Inc."
KIQ,"Kelso Technologies Inc"
BRN,"Barnwell Industries, Inc."
CVM,"Cel-Sci Corporation"
OGEN,"Oragenics, Inc."
LODE,"Comstock Mining, Inc."
IGC,"India Globalization Capital Inc."
CRVP,"Crystal Rock Holdings, Inc."
IHT,"InnSuites Hospitality Trust"
BAA,"BANRO CORPORATION"
MYO,"Myomo Inc."
AMS,"American Shared Hospital Services"
LGL,"LGL Group, Inc. (The)"
BPMX,"BioPharmX Corporation"
SSY,"SunLink Health Systems, Inc."
GLOW,"Glowpoint, Inc."
NTN,"NTN Buzztime, Inc."
HMG,"HMG/Courtland Properties, Inc."
XTNT,"Xtant Medical Holdings, Inc."
PW,"Power REIT"
CEI,"Camber Energy, Inc."
HEB,"Hemispherx BioPharma, Inc."
IMUC,"ImmunoCellular Therapeutics, Ltd."
MICR,"Micron Solutions, Inc."
APHB,"AmpliPhi Biosciences Corporation"
COHN,"Cohen & Company Inc."
MXC,"Mexco Energy Corporation"
ALN,"American Lorain Corporation"
JRJR,"JRjr33, Inc."
VII,"Vicon Industries, Inc."
AWX,"Avalon Holdings Corporation"
CPHI,"China Pharma Holdings, Inc."
TGC,"Tengasco, Inc."
TIK,"Tel-Instrument Electronics Corp."
RCG,"RENN Fund, Inc."
RHE,"Regional Health Properties, Inc."
BDR,"Blonder Tongue Laboratories, Inc."
ENRJ,"EnerJex Resources, Inc."
UUU,"Universal Security Instruments, Inc."
GBR,"New Concept Energy, Inc"
PED,"Pedevco Corp."
NSPR,"InspireMD, Inc."
ARNC^,"Arconic Inc."
ASB.WS,"Associated Banc-Corp"
BCV^A,"Bancroft Fund Limited"
BTX.WS,"BioTime, Inc."
BRG^A,"Bluerock Residential Growth REIT, Inc."
BRG^C,"Bluerock Residential Growth REIT, Inc."
BRG^D,"Bluerock Residential Growth REIT, Inc."
BWL.A,"Bowl America, Inc."
CVM.WS,"Cel-Sci Corporation"
CISN.WS,"Cision Ltd."
ECF^A,"Ellsworth Growth and Income Fund Ltd."
UUUU.WS,"Energy Fuels Inc"
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust "
GST^A,"Gastar Exploration Inc."
GST^B,"Gastar Exploration Inc."
GLF.WS,"GulfMark Offshore, Inc."
HCAC.U,"Hennessy Capital Acquisition Corp. III"
HCAC.WS,"Hennessy Capital Acquisition Corp. III"
HLM^,"Hillman Group Capital Trust"
IBO,"IBO (Listing Market - NYSE Amex Network B F)"
IMUC.WS,"ImmunoCellular Therapeutics, Ltd."
NSPR.WS,"InspireMD, Inc."
NSPR.WS.B,"InspireMD, Inc."
LTS^A,"Ladenburg Thalmann Financial Services Inc"
LTSL,"Ladenburg Thalmann Financial Services Inc"
IPB,"Merrill Lynch & Co., Inc."
ATEST,"NASDAQ TEST STOCK"
ATEST.A,"NASDAQ TEST STOCK"
ATEST.B,"NASDAQ TEST STOCK"
ATEST.C,"NASDAQ TEST STOCK"
PCG^A,"Pacific Gas & Electric Co."
PCG^B,"Pacific Gas & Electric Co."
PCG^C,"Pacific Gas & Electric Co."
PCG^D,"Pacific Gas & Electric Co."
PCG^E,"Pacific Gas & Electric Co."
PCG^G,"Pacific Gas & Electric Co."
PCG^H,"Pacific Gas & Electric Co."
PCG^I,"Pacific Gas & Electric Co."
BTU^,"Peabody Energy Corporation"
PLYM^A,"Plymouth Industrial REIT, Inc."
PW^A,"Power REIT"
RLGT^A,"Radiant Logistics, Inc."
RHE^A,"Regional Health Properties, Inc."
SCE^B,"Southern California Edison Company"
SCE^C,"Southern California Edison Company"
SCE^D,"Southern California Edison Company"
SCE^E,"Southern California Edison Company"
LOV,"Spark Networks, Inc."
SGY.WS,"Stone Energy Corporation"
GLU^A,"The Gabelli Global Utility and Income Trust"
GGO^A,"The Gabelli Go Anywhere Trust"
ABEO,"Abeona Therapeutics Inc."
ABEOW,"Abeona Therapeutics Inc."
ABIL,"Ability Inc."
AXAS,"Abraxas Petroleum Corporation"
ACST,"Acasti Pharma, Inc."
AXDX,"Accelerate Diagnostics, Inc."
ACER,"Acer Therapeutics Inc."
ACERW,"Acer Therapeutics Inc."
ACHV,"Achieve Life Sciences, Inc. "
ACNB,"ACNB Corporation"
ADMP,"Adamis Pharmaceuticals Corporation"
IOTS,"Adesto Technologies Corporation"
ADMA,"ADMA Biologics Inc"
ADOM,"ADOMANI, Inc."
AMD,"Advanced Micro Devices, Inc."
ADXSW,"Advaxis, Inc."
AEHR,"Aehr Test Systems"
AEZS,"AEterna Zentaris Inc."
AEMD,"Aethlon Medical, Inc."
AGEN,"Agenus Inc."
AIRT,"Air T, Inc."
AIRG,"Airgain, Inc."
AKTX,"Akari Therapeutics Plc"
AKER,"Akers Biosciences Inc"
AKTS,"Akoustis Technologies, Inc."
ALBO,"Albireo Pharma, Inc."
ALDX,"Aldeyra Therapeutics, Inc."
AMMA,"Alliance MMA, Inc."
AHPI,"Allied Healthcare Products, Inc."
ALQA,"Alliqua BioMedical, Inc."
AMDA,"Amedica Corporation"
AMRH,"Ameri Holdings, Inc."
AMRHW,"Ameri Holdings, Inc."
AETI,"American Electric Technologies, Inc."
ATLO,"Ames National Corporation"
AVXL,"Anavex Life Sciences Corp."
ANDA,"Andina Acquisition Corp. II"
ANDAR,"Andina Acquisition Corp. II"
ANDAU,"Andina Acquisition Corp. II"
ANDAW,"Andina Acquisition Corp. II"
ATRS,"Antares Pharma, Inc."
ARCI,"Appliance Recycling Centers of America, Inc."
APDN,"Applied DNA Sciences Inc"
APDNW,"Applied DNA Sciences Inc"
APRI,"Apricus Biosciences, Inc."
APTO,"Aptose Biosciences, Inc."
AQMS,"Aqua Metals, Inc."
AQB,"AquaBounty Technologies, Inc."
ARDM,"Aradigm Corporation"
ARCW,"ARC Group Worldwide, Inc."
ABIO,"ARCA biopharma, Inc."
RKDA,"Arcadia Biosciences, Inc."
FUV,"Arcimoto, Inc."
ARTW,"Art&#39;s-Way Manufacturing Co., Inc."
ASPU,"Aspen Group Inc."
ASMB,"Assembly Biosciences, Inc."
ASTC,"Astrotech Corporation"
ASUR,"Asure Software Inc"
ASV,"ASV Holdings, Inc."
ATHX,"Athersys, Inc."
ATAC,"Atlantic Acquisition Corp."
ATACR,"Atlantic Acquisition Corp."
ATACU,"Atlantic Acquisition Corp."
ATOM,"Atomera Incorporated"
ATOS,"Atossa Genetics Inc."
ATTU,"Attunity Ltd."
EARS,"Auris Medical Holding AG"
AUTO,"AutoWeb, Inc."
ATXI,"Avenue Therapeutics, Inc."
AVEO,"AVEO Pharmaceuticals, Inc."
AVIR,"Aviragen Therapeutics, Inc."
AHPA,"Avista Healthcare Public Acquisition Corp."
AHPAU,"Avista Healthcare Public Acquisition Corp."
AHPAW,"Avista Healthcare Public Acquisition Corp."
AXGN,"AxoGen, Inc."
AYTU,"Aytu BioScience, Inc."
AZRX,"AzurRx BioPharma, Inc."
BOSC,"B.O.S. Better Online Solutions"
BCTF,"Bancorp 34, Inc."
BMRC,"Bank of Marin Bancorp"
BKSC,"Bank of South Carolina Corp."
BOTJ,"Bank of the James Financial Group, Inc."
BHAC,"Barington/Hilco Acquisition Corp."
BHACR,"Barington/Hilco Acquisition Corp."
BHACU,"Barington/Hilco Acquisition Corp."
BHACW,"Barington/Hilco Acquisition Corp."
BYBK,"Bay Bancorp, Inc."
BEBE,"bebe stores, inc."
BNTC,"Benitec Biopharma Limited"
BNTCW,"Benitec Biopharma Limited"
BYSI,"BeyondSpring, Inc."
BRPA,"Big Rock Partners Acquisition Corp."
BRPAR,"Big Rock Partners Acquisition Corp."
BRPAU,"Big Rock Partners Acquisition Corp."
BRPAW,"Big Rock Partners Acquisition Corp."
BASI,"Bioanalytical Systems, Inc."
ORPN,"Bioblast Pharma Ltd."
BIOC,"Biocept, Inc."
BDSI,"BioDelivery Sciences International, Inc."
BKYI,"BIO-key International, Inc."
BIOL,"Biolase, Inc."
BLFS,"BioLife Solutions, Inc."
BLRX,"BioLineRx Ltd."
BMRA,"Biomerica, Inc."
BVXV,"BiondVax Pharmaceuticals Ltd."
BVXVW,"BiondVax Pharmaceuticals Ltd."
BPTH,"Bio-Path Holdings, Inc."
BSPM,"Biostar Pharmaceuticals, Inc."
BCAC,"Bison Capital Acquisition Corp."
BCACR,"Bison Capital Acquisition Corp."
BCACU,"Bison Capital Acquisition Corp."
BCACW,"Bison Capital Acquisition Corp."
BRAC,"Black Ridge Acquisition Corp."
BRACR,"Black Ridge Acquisition Corp."
BRACU,"Black Ridge Acquisition Corp."
BRACW,"Black Ridge Acquisition Corp."
BNSO,"Bonso Electronics International, Inc."
BRQS,"Borqs Technologies, Inc. "
BRQSW,"Borqs Technologies, Inc. "
BOMN,"Boston Omaha Corporation"
BLVD,"Boulevard Acquisition Corp. II"
BLVDU,"Boulevard Acquisition Corp. II"
BLVDW,"Boulevard Acquisition Corp. II"
BOXL,"Boxlight Corporation"
BCLI,"Brainstorm Cell Therapeutics Inc."
BLIN,"Bridgeline Digital, Inc."
BVSN,"BroadVision, Inc."
BYFC,"Broadway Financial Corporation"
BWEN,"Broadwind Energy, Inc."
BLMT,"BSB Bancorp, Inc."
CLBS,"Caladrius Biosciences, Inc."
ABCD,"Cambium Learning Group, Inc."
CATC,"Cambridge Bancorp"
CGIX,"Cancer Genetics, Inc."
CPTAG,"Capitala Finance Corp."
CAPR,"Capricor Therapeutics, Inc."
CPST,"Capstone Turbine Corporation"
CRME,"Cardiome Pharma Corporation"
CARO,"Carolina Financial Corporation"
CART,"Carolina Trust BancShares, Inc."
CARV,"Carver Bancorp, Inc."
CASM,"CAS Medical Systems, Inc."
CASI,"CASI Pharmaceuticals, Inc."
CBIO,"Catalyst Biosciences, Inc. "
CPRX,"Catalyst Pharmaceuticals, Inc."
CATS,"Catasys, Inc."
CELC,"Celcuity Inc."
APOP,"Cellect Biotechnology Ltd."
APOPW,"Cellect Biotechnology Ltd."
CLRB,"Cellectar Biosciences, Inc."
CLRBW,"Cellectar Biosciences, Inc."
CLRBZ,"Cellectar Biosciences, Inc."
CLSN,"Celsion Corporation"
CELH,"Celsius Holdings, Inc."
CETX,"Cemtrex Inc."
CETXP,"Cemtrex Inc."
CETXW,"Cemtrex Inc."
CDEV,"Centennial Resource Development, Inc."
CFBK,"Central Federal Corporation"
CVCY,"Central Valley Community Bancorp"
CNTY,"Century Casinos, Inc."
CERC,"Cerecor Inc."
CERCW,"Cerecor Inc."
KOOL,"Cesca Therapeutics Inc."
CSBR,"Champions Oncology, Inc."
BURG,"Chanticleer Holdings, Inc."
CTHR,"Charles & Colvard Ltd."
CHFN,"Charter Financial Corp."
CHEK,"Check-Cap Ltd."
CHEKW,"Check-Cap Ltd."
CKPT,"Checkpoint Therapeutics, Inc."
CEMI,"Chembio Diagnostics, Inc."
CHFS,"CHF Solutions, Inc."
CADC,"China Advanced Construction Materials Group, Inc."
CALI,"China Auto Logistics Inc."
CAAS,"China Automotive Systems, Inc."
CCCL,"China Ceramics Co., Ltd."
CCCR,"China Commercial Credit, Inc."
CCRC,"China Customer Relations Centers, Inc."
HGSH,"China HGS Real Estate, Inc."
CNIT,"China Information Technology, Inc."
CJJD,"China Jo-Jo Drugstores, Inc."
CLDC,"China Lending Corporation"
CHNR,"China Natural Resources, Inc."
CREG,"China Recycling Energy Corporation"
CNET,"ChinaNet Online Holdings, Inc."
CDXC,"ChromaDex Corporation"
CTXR,"Citius Pharmaceuticals, Inc."
CTXRW,"Citius Pharmaceuticals, Inc."
CZNC,"Citizens & Northern Corp"
CIVB,"Civista Bancshares, Inc. "
CIVBP,"Civista Bancshares, Inc. "
CDTI,"Clean Diesel Technologies, Inc."
CLNT,"Cleantech Solutions International, Inc."
CLRO,"ClearOne, Inc."
CLIR,"ClearSign Combustion Corporation"
CLIRW,"ClearSign Combustion Corporation"
CBLI,"Cleveland BioLabs, Inc."
CMSS,"CM Seven Star Acquisition Corporation"
CMSSR,"CM Seven Star Acquisition Corporation"
CMSSU,"CM Seven Star Acquisition Corporation"
CMSSW,"CM Seven Star Acquisition Corporation"
CWAY,"Coastway Bancorp, Inc."
CODA,"Coda Octopus Group, Inc."
CODX,"Co-Diagnostics, Inc."
JVA,"Coffee Holding Co., Inc."
CGNT,"Cogentix Medical, Inc."
CUBN,"Commerce Union Bancshares, Inc."
ESXB,"Community Bankers Trust Corporation."
CFBI,"Community First Bancshares, Inc."
CHCI,"Comstock Holding Companies, Inc."
CNAC,"Constellation Alpha Capital Corp."
CNACR,"Constellation Alpha Capital Corp."
CNACU,"Constellation Alpha Capital Corp."
CNACW,"Constellation Alpha Capital Corp."
CFRX,"ContraFect Corporation"
CTRV,"ContraVir Pharmaceuticals Inc"
CORT,"Corcept Therapeutics Incorporated"
CPAH,"CounterPath Corporation"
CPSH,"CPS Technologies Corp."
CRWS,"Crown Crafts, Inc."
CYRX,"CryoPort, Inc."
CYRXW,"CryoPort, Inc."
CTIC,"CTI BioPharma Corp."
CTIB,"CTI Industries Corporation"
CUI,"CUI Global, Inc."
CVV,"CVD Equipment Corporation"
CYAN,"Cyanotech Corporation"
CYCC,"Cyclacel Pharmaceuticals, Inc."
CYCCP,"Cyclacel Pharmaceuticals, Inc."
CBAY,"CymaBay Therapeutics Inc."
CYRN,"CYREN Ltd."
CYTX,"Cytori Therapeutics Inc"
CYTXW,"Cytori Therapeutics Inc"
CTSO,"Cytosorbents Corporation"
CYTR,"CytRx Corporation"
DJCO,"Daily Journal Corp. (S.C.)"
DARE,"Dare Bioscience, Inc."
DRIO,"DarioHealth Corp."
DRIOW,"DarioHealth Corp."
DZSI,"DASAN Zhone Solutions, Inc."
DSKE,"Daseke, Inc."
DSKEW,"Daseke, Inc."
DAIO,"Data I/O Corporation"
DWCH,"Datawatch Corporation"
TACO,"Del Taco Restaurants, Inc."
TACOW,"Del Taco Restaurants, Inc."
DMPI,"DelMar Pharmaceuticals, Inc."
DELT,"Delta Technology Holdings Limited"
DELTW,"Delta Technology Holdings Limited"
DENN,"Denny&#39;s Corporation"
DTRM,"Determine, Inc. "
DXTR,"Dextera Surgical Inc."
DFBG,"Differential Brands Group Inc."
DFFN,"Diffusion Pharmaceuticals Inc."
DGLY,"Digital Ally, Inc."
APPS,"Digital Turbine, Inc."
DVCR,"Diversicare Healthcare Services Inc."
SAUC,"Diversified Restaurant Holdings, Inc."
DLHC,"DLH Holdings Corp."
DNBF,"DNB Financial Corp"
LYL,"Dragon Victory International Limited"
DOTA,"Draper Oakwood Technology Acquisition, Inc."
DOTAR,"Draper Oakwood Technology Acquisition, Inc."
DOTAU,"Draper Oakwood Technology Acquisition, Inc."
DOTAW,"Draper Oakwood Technology Acquisition, Inc."
DRYS,"DryShips Inc."
DYSL,"Dynasil Corporation of America"
DYNT,"Dynatronics Corporation"
DVAX,"Dynavax Technologies Corporation"
EGBN,"Eagle Bancorp, Inc."
EFBI,"Eagle Financial Bancorp, Inc."
EACQ,"Easterly Acquisition Corp."
EACQU,"Easterly Acquisition Corp."
EACQW,"Easterly Acquisition Corp."
ESDI,"Eastside Distilling, Inc."
ESDIW,"Eastside Distilling, Inc."
ESES,"Eco-Stim Energy Solutions, Inc."
EGAN,"eGain Corporation"
EKSO,"Ekso Bionics Holdings, Inc."
ELSE,"Electro-Sensors, Inc."
ELEC,"Electrum Special Acquisition Corporation"
ELECU,"Electrum Special Acquisition Corporation"
ELECW,"Electrum Special Acquisition Corporation"
ESBK,"Elmira Savings Bank NY (The)"
ELTK,"Eltek Ltd."
EMCF,"Emclaire Financial Corp"
NDRA,"ENDRA Life Sciences Inc."
NDRAW,"ENDRA Life Sciences Inc."
WATT,"Energous Corporation"
EFOI,"Energy Focus, Inc."
ENG,"ENGlobal Corporation"
EQFN,"Equitable Financial Corp."
ESQ,"Esquire Financial Holdings, Inc."
EPIX,"ESSA Pharma Inc."
CLWT,"Euro Tech Holdings Company Limited"
ESEA,"Euroseas Ltd."
EVOK,"Evoke Pharma, Inc."
EVOL,"Evolving Systems, Inc."
EXAS,"Exact Sciences Corporation"
XELA,"Exela Technologies, Inc."
EYEG,"Eyegate Pharmaceuticals, Inc."
EYEGW,"Eyegate Pharmaceuticals, Inc."
FMAO,"Farmers & Merchants Bancorp, Inc."
FMNB,"Farmers National Banc Corp."
FAT,"FAT Brands Inc."
FBSS,"Fauquier Bankshares, Inc."
FCRE,"FC Global Realty Incorporated"
FSAC,"Federal Street Acquisition Corp."
FSACU,"Federal Street Acquisition Corp."
FSACW,"Federal Street Acquisition Corp."
FENC,"Fennec Pharmaceuticals Inc."
FFBW,"FFBW, Inc."
FCSC,"Fibrocell Science Inc"
FNJN,"Finjan Holdings, Inc."
FNTE,"FinTech Acquisition Corp. II"
FNTEU,"FinTech Acquisition Corp. II"
FNTEW,"FinTech Acquisition Corp. II"
FCAP,"First Capital, Inc."
FCCO,"First Community Corporation"
FSFG,"First Savings Financial Group, Inc."
FUSB,"First US Bancshares, Inc."
FVE,"Five Star Senior Living Inc."
FPAY,"FlexShopper, Inc."
FONR,"Fonar Corporation"
FRSX,"Foresight Autonomous Holdings Ltd."
FH,"FORM Holdings Corp."
FBIO,"Fortress Biotech, Inc."
FBIOP,"Fortress Biotech, Inc."
FMCI,"Forum Merger Corporation"
FMCIR,"Forum Merger Corporation"
FMCIU,"Forum Merger Corporation"
FMCIW,"Forum Merger Corporation"
FORD,"Forward Industries, Inc."
FSBW,"FS Bancorp, Inc."
FSBC,"FSB Bancorp, Inc."
FORK,"Fuling Global Inc."
FLL,"Full House Resorts, Inc."
FSNN,"Fusion Telecommunications International, Inc."
FFHL,"Fuwei Films (Holdings) Co., Ltd."
WILC,"G. Willi-Food International,  Ltd."
GALT,"Galectin Therapeutics Inc."
